,Chance_of_Admit
0,0.9222559040270544
1,0.7824645729064422
2,0.5797098176501715
3,0.6942980010076724
4,0.8025770628194828
5,0.8753745413667394
6,0.48524052396640427
7,0.6288457396302215
8,0.8052162490678413
9,0.8219930992869915
10,0.6955827369207992
11,0.7179670358391564
12,0.666109490686495
13,0.9174318060886356
14,0.832738824169023
15,0.5126315286151294
16,0.8572756675887514
17,0.5787942753642098
18,0.5320040451199572
19,0.5851557694224635
20,0.6894521541555843
21,0.5701109742671278
22,0.7300965837475603
23,0.8035623524302616
24,0.7633859238221014
25,0.621287474419674
26,0.9725667470676401
27,0.8474688121180948
28,0.6102984168853933
29,0.7571475504208084
30,0.5777177447101046
31,0.7317597317565911
32,0.5624381208232876
33,0.8542434118128701
34,0.635176516280811
35,0.7437290417502256
36,0.5628402442402887
37,0.9429299499262606
38,0.6468768841449306
39,0.7026909804371044
40,0.980265814937585
41,0.5635915478977404
42,0.6885864165684759
43,0.8555187660981644
44,0.9121431328184412
45,0.5593380113818772
46,0.9360277535023346
47,0.8163192518093128
48,0.8076834839501161
49,0.9076035501140394
50,0.8726883632547898
51,0.5579123675093507
52,0.6946423316882141
53,0.5426621402858843
54,0.9470164917092184
55,0.5755497115151003
56,0.9409234923821869
57,0.7184566949719451
58,0.6585150385743157
59,0.4913450835164179
60,0.6463770721020871
61,0.6799959209167765
62,0.5976739666601413
63,0.6193767166329747
64,0.4189407140295093
65,0.5822115664088444
66,0.8879503885288446
67,0.8749555366623399
68,0.6448687002682706
69,0.7046541626284564
70,0.6302269611902326
71,0.7944354539245808
72,0.6806704157353304
73,0.5674113510601629
74,0.5489171156012614
75,0.6504938642067772
76,0.8452545586842206
77,0.8516349774008557
78,0.5488490230380981
79,0.6374745135106588
80,0.7498838303215031
81,0.8350890414620411
82,0.6354641086675789
83,0.8384069836532947
84,0.7421572050660941
85,0.6636935623830977
86,0.6001473791141454
87,0.7554689634810584
88,0.798112863726863
89,0.6615152261447117
90,0.7502455284414131
91,0.9277755489289351
92,0.9237220411331749
93,0.650807130680824
94,0.7996845763416468
95,0.43486103626843664
96,0.6755482943325332
97,0.7671329296345065
98,0.7550514970273808
99,0.625396706604873
