,Chance_of_Admit
0,0.9222559040270581
1,0.7824645729064239
2,0.5797098176501776
3,0.6942980010076607
4,0.8025770628194653
5,0.8753745413667466
6,0.48524052396641415
7,0.628845739630209
8,0.8052162490678219
9,0.821993099287005
10,0.6955827369207734
11,0.7179670358391481
12,0.6661094906865033
13,0.9174318060886149
14,0.8327388241690288
15,0.512631528615139
16,0.8572756675887667
17,0.5787942753641884
18,0.532004045119961
19,0.585155769422476
20,0.6894521541556025
21,0.5701109742671469
22,0.7300965837475599
23,0.8035623524302655
24,0.7633859238220813
25,0.6212874744196906
26,0.9725667470676578
27,0.8474688121180864
28,0.6102984168853764
29,0.7571475504208129
30,0.577717744710122
31,0.7317597317565945
32,0.5624381208233014
33,0.8542434118128595
34,0.6351765162807854
35,0.7437290417502285
36,0.5628402442402995
37,0.9429299499262405
38,0.6468768841449257
39,0.7026909804370847
40,0.9802658149375898
41,0.5635915478977245
42,0.6885864165684923
43,0.8555187660981545
44,0.912143132818416
45,0.5593380113818598
46,0.9360277535023072
47,0.8163192518092874
48,0.807683483950125
49,0.9076035501140154
50,0.8726883632547711
51,0.5579123675093427
52,0.694642331688202
53,0.5426621402858949
54,0.9470164917092083
55,0.5755497115150783
56,0.9409234923821714
57,0.7184566949719209
58,0.6585150385743106
59,0.49134508351640105
60,0.646377072102106
61,0.6799959209167745
62,0.5976739666601445
63,0.6193767166329927
64,0.41894071402949185
65,0.5822115664088237
66,0.8879503885288578
67,0.8749555366623174
68,0.644868700268266
69,0.7046541626284639
70,0.6302269611902387
71,0.7944354539245839
72,0.6806704157353269
73,0.5674113510601633
74,0.5489171156012644
75,0.6504938642067779
76,0.8452545586842171
77,0.8516349774008358
78,0.5488490230381127
79,0.6374745135106739
80,0.7498838303214892
81,0.8350890414620229
82,0.6354641086675954
83,0.8384069836532839
84,0.7421572050660952
85,0.6636935623830797
86,0.6001473791141374
87,0.7554689634810685
88,0.798112863726866
89,0.6615152261447108
90,0.7502455284414198
91,0.9277755489289501
92,0.9237220411331786
93,0.6508071306808263
94,0.7996845763416587
95,0.43486103626844197
96,0.6755482943325151
97,0.7671329296344858
98,0.7550514970273932
99,0.6253967066048485
